,experiment,n,objective,runtime
112,12.0,10.0,33.0,0.03392291069030762
113,13.0,10.0,33.0,0.03351283073425293
114,14.0,10.0,33.0,0.033141136169433594
115,15.0,10.0,33.0,0.033461809158325195
116,16.0,10.0,33.0,0.03384089469909668
117,17.0,10.0,33.0,0.03310799598693848
118,18.0,10.0,33.0,0.033186912536621094
119,19.0,10.0,33.0,0.03329896926879883
120,0.0,11.0,37.0,0.05130505561828613
121,1.0,11.0,37.0,0.05089998245239258
122,2.0,11.0,37.0,0.050377845764160156
123,3.0,11.0,37.0,0.050553083419799805
124,4.0,11.0,37.0,0.051088809967041016
125,5.0,11.0,37.0,0.05056595802307129
126,6.0,11.0,37.0,0.052249908447265625
127,7.0,11.0,37.0,0.05191397666931152
128,8.0,11.0,37.0,0.05112600326538086
129,9.0,11.0,37.0,0.050100088119506836
130,10.0,11.0,37.0,0.050047874450683594
131,11.0,11.0,37.0,0.049636125564575195
132,12.0,11.0,37.0,0.04974985122680664
133,13.0,11.0,37.0,0.04996800422668457
134,14.0,11.0,37.0,0.0508570671081543
135,15.0,11.0,37.0,0.05006718635559082
136,16.0,11.0,37.0,0.05023694038391113
137,17.0,11.0,37.0,0.05122804641723633
138,18.0,11.0,37.0,0.049833059310913086
139,19.0,11.0,37.0,0.05049490928649902
140,0.0,12.0,43.0,0.07207894325256348
141,1.0,12.0,43.0,0.07253718376159668
142,2.0,12.0,43.0,0.07272100448608398
143,3.0,12.0,43.0,0.0718381404876709
144,4.0,12.0,43.0,0.07240605354309082
145,5.0,12.0,43.0,0.07236218452453613
146,6.0,12.0,43.0,0.07257390022277832
147,7.0,12.0,43.0,0.0719761848449707
148,8.0,12.0,43.0,0.07176494598388672
149,9.0,12.0,43.0,0.07256102561950684
150,10.0,12.0,43.0,0.07062816619873047
151,11.0,12.0,43.0,0.07278895378112793
152,12.0,12.0,43.0,0.07005786895751953
153,13.0,12.0,43.0,0.07045197486877441
154,14.0,12.0,43.0,0.07238101959228516
155,15.0,12.0,43.0,0.07094717025756836
156,16.0,12.0,43.0,0.07147002220153809
157,17.0,12.0,43.0,0.07088398933410645
158,18.0,12.0,43.0,0.07169914245605469
159,19.0,12.0,43.0,0.07044792175292969
160,0.0,13.0,55.0,0.09829092025756836
161,1.0,13.0,55.0,0.0999300479888916
162,2.0,13.0,55.0,0.09852910041809082
163,3.0,13.0,55.0,0.09973001480102539
164,4.0,13.0,55.0,0.10022592544555664
165,5.0,13.0,55.0,0.09945893287658691
166,6.0,13.0,55.0,0.09995508193969727
167,7.0,13.0,55.0,0.10000896453857422
168,8.0,13.0,55.0,0.09911894798278809
169,9.0,13.0,55.0,0.09991598129272461
170,10.0,13.0,55.0,0.0999150276184082
171,11.0,13.0,55.0,0.09946203231811523
172,12.0,13.0,55.0,0.09926295280456543
173,13.0,13.0,55.0,0.09954214096069336
174,14.0,13.0,55.0,0.10170507431030273
175,15.0,13.0,55.0,0.10005903244018555
176,16.0,13.0,55.0,0.09963607788085938
177,17.0,13.0,55.0,0.09930706024169922
178,18.0,13.0,55.0,0.10066986083984375
179,19.0,13.0,55.0,0.10101103782653809
180,0.0,14.0,62.0,0.13536405563354492
181,1.0,14.0,62.0,0.1351308822631836
182,2.0,14.0,62.0,0.13301897048950195
183,3.0,14.0,62.0,0.13346195220947266
184,4.0,14.0,62.0,0.13369297981262207
185,5.0,14.0,62.0,0.13358616828918457
186,6.0,14.0,62.0,0.13539505004882812
187,7.0,14.0,62.0,0.13458609580993652
188,8.0,14.0,62.0,0.13531017303466797
189,9.0,14.0,62.0,0.1354990005493164
190,10.0,14.0,62.0,0.13649582862854004
191,11.0,14.0,62.0,0.13722515106201172
192,12.0,14.0,62.0,0.13509607315063477
193,13.0,14.0,62.0,0.13105177879333496
194,14.0,14.0,62.0,0.13368701934814453
195,15.0,14.0,62.0,0.1316990852355957
196,16.0,14.0,62.0,0.1303110122680664
197,17.0,14.0,62.0,0.12984991073608398
198,18.0,14.0,62.0,0.1313321590423584
199,19.0,14.0,62.0,0.12929892539978027
200,0.0,15.0,70.0,0.21329379081726074
201,1.0,15.0,70.0,0.17516016960144043
202,2.0,15.0,70.0,0.1749589443206787
203,3.0,15.0,70.0,0.17203903198242188
204,4.0,15.0,70.0,0.17557001113891602
205,5.0,15.0,70.0,0.17174386978149414
206,6.0,15.0,70.0,0.17002391815185547
207,7.0,15.0,70.0,0.17072486877441406
208,8.0,15.0,70.0,0.1703479290008545
209,9.0,15.0,70.0,0.16949892044067383
210,10.0,15.0,70.0,0.17164897918701172
211,11.0,15.0,70.0,0.1726381778717041
212,12.0,15.0,70.0,0.17395401000976562
213,13.0,15.0,70.0,0.1742539405822754
214,14.0,15.0,70.0,0.169921875
215,15.0,15.0,70.0,0.17360615730285645
216,16.0,15.0,70.0,0.17356014251708984
217,17.0,15.0,70.0,0.17088603973388672
218,18.0,15.0,70.0,0.170853853225708
219,19.0,15.0,70.0,0.17355704307556152
220,0.0,16.0,73.0,0.22849798202514648
221,1.0,16.0,73.0,0.22433209419250488
222,2.0,16.0,73.0,0.22390079498291016
223,3.0,16.0,73.0,0.22707080841064453
224,4.0,16.0,73.0,0.22470784187316895
225,5.0,16.0,73.0,0.22808623313903809
226,6.0,16.0,73.0,0.23049497604370117
227,7.0,16.0,73.0,0.22670483589172363
228,8.0,16.0,73.0,0.22707700729370117
229,9.0,16.0,73.0,0.2254171371459961
230,10.0,16.0,73.0,0.2273550033569336
231,11.0,16.0,73.0,0.22339487075805664
232,12.0,16.0,73.0,0.2281179428100586
233,13.0,16.0,73.0,0.22614502906799316
234,14.0,16.0,73.0,0.23331809043884277
235,15.0,16.0,73.0,0.22279787063598633
236,16.0,16.0,73.0,0.22991085052490234
237,17.0,16.0,73.0,0.22777104377746582
238,18.0,16.0,73.0,0.23087716102600098
239,19.0,16.0,73.0,0.22538185119628906
240,0.0,17.0,86.0,0.3081018924713135
241,1.0,17.0,86.0,0.30562281608581543
242,2.0,17.0,86.0,0.30405282974243164
243,3.0,17.0,86.0,0.3188819885253906
244,4.0,17.0,86.0,0.3031349182128906
245,5.0,17.0,86.0,0.30196714401245117
246,6.0,17.0,86.0,0.30143094062805176
247,7.0,17.0,86.0,0.3092970848083496
248,8.0,17.0,86.0,0.308866024017334
249,9.0,17.0,86.0,0.30333495140075684
250,10.0,17.0,86.0,0.30143094062805176
251,11.0,17.0,86.0,0.3133111000061035
252,12.0,17.0,86.0,0.3123629093170166
253,13.0,17.0,86.0,0.31403088569641113
254,14.0,17.0,86.0,0.3038299083709717
255,15.0,17.0,86.0,0.303631067276001
256,16.0,17.0,86.0,0.3092188835144043
257,17.0,17.0,86.0,0.3100860118865967
258,18.0,17.0,86.0,0.3045370578765869
259,19.0,17.0,86.0,0.3050191402435303
260,0.0,18.0,98.0,0.4212820529937744
261,1.0,18.0,98.0,0.39834094047546387
262,2.0,18.0,98.0,0.4060359001159668
263,3.0,18.0,98.0,0.40659403800964355
264,4.0,18.0,98.0,0.40131521224975586
265,5.0,18.0,98.0,0.4104461669921875
266,6.0,18.0,98.0,0.39925503730773926
267,7.0,18.0,98.0,0.40122389793395996
268,8.0,18.0,98.0,0.4022378921508789
269,9.0,18.0,98.0,0.40111207962036133
270,10.0,18.0,98.0,0.4114820957183838
271,11.0,18.0,98.0,0.40320491790771484
272,12.0,18.0,98.0,0.4016730785369873
273,13.0,18.0,98.0,0.41191911697387695
274,14.0,18.0,98.0,0.40325498580932617
275,15.0,18.0,98.0,0.4343860149383545
276,16.0,18.0,98.0,0.3976259231567383
277,17.0,18.0,98.0,0.40056896209716797
278,18.0,18.0,98.0,0.40517091751098633
279,19.0,18.0,98.0,0.40338611602783203
280,0.0,19.0,105.0,0.558570146560669
281,1.0,19.0,105.0,0.5745398998260498
282,2.0,19.0,105.0,0.5577239990234375
283,3.0,19.0,105.0,0.5753681659698486
284,4.0,19.0,105.0,0.5711078643798828
285,5.0,19.0,105.0,0.5623009204864502
286,6.0,19.0,105.0,0.6095280647277832
287,7.0,19.0,105.0,0.5897719860076904
288,8.0,19.0,105.0,0.5691580772399902
289,9.0,19.0,105.0,0.5649311542510986
290,10.0,19.0,105.0,0.5568921566009521
291,11.0,19.0,105.0,0.551581859588623
292,12.0,19.0,105.0,0.5536370277404785
293,13.0,19.0,105.0,0.5480999946594238
294,14.0,19.0,105.0,0.5507509708404541
295,15.0,19.0,105.0,0.5598239898681641
296,16.0,19.0,105.0,0.5799410343170166
297,17.0,19.0,105.0,0.5623650550842285
298,18.0,19.0,105.0,0.5556018352508545
299,19.0,19.0,105.0,0.5591700077056885
300,0.0,20.0,111.0,0.7653789520263672
301,1.0,20.0,111.0,0.7767059803009033
302,2.0,20.0,111.0,0.7919280529022217
303,3.0,20.0,111.0,0.7684881687164307
304,4.0,20.0,111.0,0.7656891345977783
305,5.0,20.0,111.0,0.7623441219329834
306,6.0,20.0,111.0,0.7880032062530518
307,7.0,20.0,111.0,0.7623889446258545
308,8.0,20.0,111.0,0.7606139183044434
309,9.0,20.0,111.0,0.7490799427032471
310,10.0,20.0,111.0,0.763037919998169
311,11.0,20.0,111.0,0.7578771114349365
312,12.0,20.0,111.0,0.7529788017272949
313,13.0,20.0,111.0,0.7599170207977295
314,14.0,20.0,111.0,0.7800960540771484
315,15.0,20.0,111.0,0.7693421840667725
316,16.0,20.0,111.0,0.7735769748687744
317,17.0,20.0,111.0,0.7721810340881348
318,18.0,20.0,111.0,0.7620658874511719
319,19.0,20.0,111.0,0.7724051475524902
320,0.0,21.0,111.0,1.0270919799804688
321,1.0,21.0,111.0,1.0369009971618652
322,2.0,21.0,111.0,1.0257189273834229
323,3.0,21.0,111.0,1.0283219814300537
324,4.0,21.0,111.0,1.040930986404419
325,5.0,21.0,111.0,1.0199007987976074
326,6.0,21.0,111.0,1.0434849262237549
327,7.0,21.0,111.0,1.0518910884857178
328,8.0,21.0,111.0,1.0460851192474365
329,9.0,21.0,111.0,1.0295391082763672
330,10.0,21.0,111.0,1.0345180034637451
331,11.0,21.0,111.0,1.0195667743682861
332,12.0,21.0,111.0,1.0399670600891113
333,13.0,21.0,111.0,1.0351150035858154
334,14.0,21.0,111.0,1.0438830852508545
335,15.0,21.0,111.0,1.024993896484375
336,16.0,21.0,111.0,1.0402638912200928
337,17.0,21.0,111.0,1.0284860134124756
338,18.0,21.0,111.0,1.0380768775939941
339,19.0,21.0,111.0,1.0350358486175537
340,0.0,22.0,119.0,1.3302538394927979
341,1.0,22.0,119.0,1.325753927230835
342,2.0,22.0,119.0,1.30610990524292
343,3.0,22.0,119.0,1.3123960494995117
344,4.0,22.0,119.0,1.2990241050720215
345,5.0,22.0,119.0,1.3141098022460938
346,6.0,22.0,119.0,1.2955451011657715
347,7.0,22.0,119.0,1.3138790130615234
348,8.0,22.0,119.0,1.2991840839385986
349,9.0,22.0,119.0,1.3110380172729492
350,10.0,22.0,119.0,1.3178720474243164
351,11.0,22.0,119.0,1.326171875
352,12.0,22.0,119.0,1.307332992553711
353,13.0,22.0,119.0,1.3353259563446045
354,14.0,22.0,119.0,1.3229880332946777
355,15.0,22.0,119.0,1.3088650703430176
356,16.0,22.0,119.0,1.3007769584655762
357,17.0,22.0,119.0,1.3160409927368164
358,18.0,22.0,119.0,1.3114230632781982
359,19.0,22.0,119.0,1.2929458618164062
360,0.0,23.0,136.0,1.611868143081665
361,1.0,23.0,136.0,1.6234099864959717
362,2.0,23.0,136.0,1.6147160530090332
363,3.0,23.0,136.0,1.614943027496338
364,4.0,23.0,136.0,1.6127490997314453
365,5.0,23.0,136.0,1.6240239143371582
366,6.0,23.0,136.0,1.6145219802856445
367,7.0,23.0,136.0,1.629918098449707
368,8.0,23.0,136.0,1.626598834991455
369,9.0,23.0,136.0,1.6217920780181885
370,10.0,23.0,136.0,1.6256999969482422
371,11.0,23.0,136.0,1.6351518630981445
372,12.0,23.0,136.0,1.6174521446228027
373,13.0,23.0,136.0,1.620851993560791
374,14.0,23.0,136.0,1.6264982223510742
375,15.0,23.0,136.0,1.6173720359802246
376,16.0,23.0,136.0,1.611732006072998
377,17.0,23.0,136.0,1.6231889724731445
378,18.0,23.0,136.0,1.6603810787200928
379,19.0,23.0,136.0,1.621377944946289
380,0.0,24.0,141.0,1.8877229690551758
381,1.0,24.0,141.0,1.8945000171661377
382,2.0,24.0,141.0,1.865710973739624
383,3.0,24.0,141.0,1.8735039234161377
384,4.0,24.0,141.0,1.8666868209838867
385,5.0,24.0,141.0,1.8818719387054443
386,6.0,24.0,141.0,1.8828730583190918
387,7.0,24.0,141.0,1.8731269836425781
388,8.0,24.0,141.0,1.8801889419555664
389,9.0,24.0,141.0,1.86570405960083
390,10.0,24.0,141.0,1.87752103805542
391,11.0,24.0,141.0,1.8691120147705078
392,12.0,24.0,141.0,1.8767619132995605
393,13.0,24.0,141.0,1.8650190830230713
394,14.0,24.0,141.0,1.8710949420928955
395,15.0,24.0,141.0,1.8683180809020996
396,16.0,24.0,141.0,1.8822381496429443
397,17.0,24.0,141.0,1.8682739734649658
398,18.0,24.0,141.0,1.872183084487915
399,19.0,24.0,141.0,1.862574815750122
400,0.0,25.0,147.0,2.354156970977783
401,1.0,25.0,147.0,2.3387298583984375
402,2.0,25.0,147.0,2.3347418308258057
403,3.0,25.0,147.0,2.338473081588745
404,4.0,25.0,147.0,2.338067054748535
405,5.0,25.0,147.0,2.3524959087371826
406,6.0,25.0,147.0,2.353309154510498
407,7.0,25.0,147.0,2.346864938735962
408,8.0,25.0,147.0,2.3428239822387695
409,9.0,25.0,147.0,2.3383820056915283
410,10.0,25.0,147.0,2.3422720432281494
411,11.0,25.0,147.0,2.3433609008789062
412,12.0,25.0,147.0,2.3930931091308594
413,13.0,25.0,147.0,2.3593180179595947
414,14.0,25.0,147.0,2.340744972229004
415,15.0,25.0,147.0,2.3511359691619873
416,16.0,25.0,147.0,2.336560010910034
417,17.0,25.0,147.0,2.337261199951172
418,18.0,25.0,147.0,2.3585519790649414
419,19.0,25.0,147.0,2.3470239639282227
420,0.0,26.0,151.0,2.867090940475464
421,1.0,26.0,151.0,2.870110034942627
422,2.0,26.0,151.0,2.854720115661621
423,3.0,26.0,151.0,2.8620119094848633
424,4.0,26.0,151.0,2.8367698192596436
425,5.0,26.0,151.0,2.8469669818878174
426,6.0,26.0,151.0,2.8337838649749756
427,7.0,26.0,151.0,2.849575996398926
428,8.0,26.0,151.0,2.865346908569336
429,9.0,26.0,151.0,2.849929094314575
430,10.0,26.0,151.0,2.856797933578491
431,11.0,26.0,151.0,2.8624701499938965
432,12.0,26.0,151.0,2.845802068710327
433,13.0,26.0,151.0,2.845898151397705
434,14.0,26.0,151.0,2.8569581508636475
435,15.0,26.0,151.0,2.848578929901123
436,16.0,26.0,151.0,2.8652820587158203
437,17.0,26.0,151.0,2.8627328872680664
438,18.0,26.0,151.0,2.8472139835357666
439,19.0,26.0,151.0,2.834491014480591
440,0.0,27.0,151.0,3.42326283454895
441,1.0,27.0,151.0,3.4366719722747803
442,2.0,27.0,151.0,3.405211925506592
443,3.0,27.0,151.0,3.408174991607666
444,4.0,27.0,151.0,3.4101600646972656
445,5.0,27.0,151.0,3.4129679203033447
446,6.0,27.0,151.0,3.3990161418914795
447,7.0,27.0,151.0,3.4223031997680664
448,8.0,27.0,151.0,3.4209671020507812
449,9.0,27.0,151.0,3.43172287940979
450,10.0,27.0,151.0,3.418243885040283
451,11.0,27.0,151.0,3.424592971801758
452,12.0,27.0,151.0,3.450537919998169
453,13.0,27.0,151.0,3.4273369312286377
454,14.0,27.0,151.0,3.402698040008545
455,15.0,27.0,151.0,3.4130568504333496
456,16.0,27.0,151.0,3.419260025024414
457,17.0,27.0,151.0,3.404542922973633
458,18.0,27.0,151.0,3.3945369720458984
459,19.0,27.0,151.0,3.412274122238159
460,0.0,28.0,153.0,5.3214240074157715
461,1.0,28.0,153.0,5.3002870082855225
462,2.0,28.0,153.0,5.303714990615845
463,3.0,28.0,153.0,5.309242010116577
464,4.0,28.0,153.0,5.334784984588623
465,5.0,28.0,153.0,5.338206052780151
466,6.0,28.0,153.0,5.345566987991333
467,7.0,28.0,153.0,5.325813055038452
468,8.0,28.0,153.0,5.343904972076416
469,9.0,28.0,153.0,5.298537969589233
470,10.0,28.0,153.0,5.315090179443359
471,11.0,28.0,153.0,5.368865966796875
472,12.0,28.0,153.0,5.348134994506836
473,13.0,28.0,153.0,5.317945957183838
474,14.0,28.0,153.0,5.320485830307007
475,15.0,28.0,153.0,5.347466945648193
476,16.0,28.0,153.0,5.299249887466431
477,17.0,28.0,153.0,5.301846981048584
478,18.0,28.0,153.0,5.334219217300415
479,19.0,28.0,153.0,5.351023197174072
480,0.0,29.0,168.0,5.532799959182739
481,1.0,29.0,168.0,5.520570993423462
482,2.0,29.0,168.0,5.495758056640625
483,3.0,29.0,168.0,5.458986043930054
484,4.0,29.0,168.0,5.451120138168335
485,5.0,29.0,168.0,5.46940803527832
486,6.0,29.0,168.0,5.449406862258911
487,7.0,29.0,168.0,5.471500873565674
488,8.0,29.0,168.0,5.4563398361206055
489,9.0,29.0,168.0,5.475852012634277
490,10.0,29.0,168.0,5.463325023651123
491,11.0,29.0,168.0,5.46889591217041
492,12.0,29.0,168.0,5.442436218261719
493,13.0,29.0,168.0,5.445372104644775
494,14.0,29.0,168.0,5.435744047164917
495,15.0,29.0,168.0,5.439860105514526
496,16.0,29.0,168.0,5.441667079925537
497,17.0,29.0,168.0,5.466300964355469
498,18.0,29.0,168.0,5.438359975814819
499,19.0,29.0,168.0,5.466249942779541
500,0.0,30.0,168.0,7.639279127120972
501,1.0,30.0,168.0,7.625200033187866
502,2.0,30.0,168.0,7.656800031661987
503,3.0,30.0,168.0,7.630079030990601
504,4.0,30.0,168.0,7.632688045501709
505,5.0,30.0,168.0,7.683366060256958
506,6.0,30.0,168.0,7.625499963760376
507,7.0,30.0,168.0,7.645631790161133
508,8.0,30.0,168.0,7.652801990509033
509,9.0,30.0,168.0,7.637132883071899
510,10.0,30.0,168.0,7.670278072357178
511,11.0,30.0,168.0,7.642990827560425
512,12.0,30.0,168.0,7.62786602973938
513,13.0,30.0,168.0,7.646752119064331
514,14.0,30.0,168.0,7.62516713142395
515,15.0,30.0,168.0,7.671358108520508
516,16.0,30.0,168.0,7.6361939907073975
517,17.0,30.0,168.0,7.6306610107421875
518,18.0,30.0,168.0,7.637369871139526
519,19.0,30.0,168.0,7.623478889465332
520,0.0,31.0,171.0,9.317777872085571
521,1.0,31.0,171.0,9.301074028015137
522,2.0,31.0,171.0,9.297905921936035
523,3.0,31.0,171.0,9.324306964874268
524,4.0,31.0,171.0,9.338526964187622
525,5.0,31.0,171.0,9.302270889282227
526,6.0,31.0,171.0,9.333408117294312
527,7.0,31.0,171.0,9.341995000839233
528,8.0,31.0,171.0,9.335427045822144
529,9.0,31.0,171.0,9.362324953079224
530,10.0,31.0,171.0,9.32107400894165
531,11.0,31.0,171.0,9.360557079315186
532,12.0,31.0,171.0,9.324994802474976
533,13.0,31.0,171.0,9.350805044174194
534,14.0,31.0,171.0,9.312587976455688
535,15.0,31.0,171.0,9.308845043182373
536,16.0,31.0,171.0,9.304193019866943
537,17.0,31.0,171.0,9.28574514389038
538,18.0,31.0,171.0,9.340748071670532
539,19.0,31.0,171.0,9.292719841003418
540,0.0,32.0,191.0,9.998868942260742
541,1.0,32.0,191.0,9.945972204208374
542,2.0,32.0,191.0,9.939692974090576
543,3.0,32.0,191.0,9.952659845352173
544,4.0,32.0,191.0,9.989142894744873
545,5.0,32.0,191.0,9.931193113327026
546,6.0,32.0,191.0,9.961216926574707
547,7.0,32.0,191.0,9.926136016845703
548,8.0,32.0,191.0,9.976463079452515
549,9.0,32.0,191.0,9.93322205543518
550,10.0,32.0,191.0,9.979414939880371
551,11.0,32.0,191.0,9.953473091125488
552,12.0,32.0,191.0,9.915982007980347
553,13.0,32.0,191.0,9.927313089370728
554,14.0,32.0,191.0,9.94873309135437
555,15.0,32.0,191.0,9.958474159240723
556,16.0,32.0,191.0,9.993711948394775
557,17.0,32.0,191.0,9.966881036758423
558,18.0,32.0,191.0,9.973220825195312
559,19.0,32.0,191.0,9.931209087371826
560,0.0,33.0,193.0,12.746577978134155
561,1.0,33.0,193.0,12.818382978439331
562,2.0,33.0,193.0,12.805450916290283
563,3.0,33.0,193.0,13.018465042114258
564,4.0,33.0,193.0,13.008111953735352
565,5.0,33.0,193.0,12.954910039901733
566,6.0,33.0,193.0,12.927426099777222
567,7.0,33.0,193.0,12.888864994049072
568,8.0,33.0,193.0,12.942954063415527
569,9.0,33.0,193.0,12.90058708190918
570,10.0,33.0,193.0,12.848993062973022
571,11.0,33.0,193.0,12.854336023330688
572,12.0,33.0,193.0,12.901769161224365
573,13.0,33.0,193.0,12.898098945617676
574,14.0,33.0,193.0,12.85348105430603
575,15.0,33.0,193.0,12.863594055175781
576,16.0,33.0,193.0,12.842756986618042
577,17.0,33.0,193.0,12.869472026824951
578,18.0,33.0,193.0,12.86613392829895
579,19.0,33.0,193.0,12.86655879020691
580,0.0,34.0,211.0,15.157598972320557
581,1.0,34.0,211.0,15.155872106552124
582,2.0,34.0,211.0,15.156104803085327
583,3.0,34.0,211.0,15.180888891220093
584,4.0,34.0,211.0,15.149845838546753
585,5.0,34.0,211.0,15.14331603050232
586,6.0,34.0,211.0,15.10785984992981
587,7.0,34.0,211.0,15.222321033477783
588,8.0,34.0,211.0,15.228955030441284
589,9.0,34.0,211.0,15.258561134338379
590,10.0,34.0,211.0,15.206127882003784
591,11.0,34.0,211.0,15.248625993728638
592,12.0,34.0,211.0,15.207039833068848
593,13.0,34.0,211.0,15.184756994247437
594,14.0,34.0,211.0,15.087050914764404
595,15.0,34.0,211.0,15.194507122039795
596,16.0,34.0,211.0,15.105890035629272
597,17.0,34.0,211.0,15.102576971054077
598,18.0,34.0,211.0,15.11658000946045
599,19.0,34.0,211.0,15.092674970626831
600,0.0,35.0,211.0,17.943233013153076
601,1.0,35.0,211.0,17.91712713241577
602,2.0,35.0,211.0,17.96669912338257
603,3.0,35.0,211.0,18.31851291656494
604,4.0,35.0,211.0,18.585458993911743
605,5.0,35.0,211.0,18.51735806465149
606,6.0,35.0,211.0,18.525799036026
607,7.0,35.0,211.0,18.513949155807495
608,8.0,35.0,211.0,18.48398494720459
609,9.0,35.0,211.0,18.54535698890686
610,10.0,35.0,211.0,18.530463933944702
611,11.0,35.0,211.0,18.52695894241333
612,12.0,35.0,211.0,18.494882106781006
613,13.0,35.0,211.0,18.54938507080078
614,14.0,35.0,211.0,18.466767072677612
